Run,Task_Index,Source,Description,Temperature,Recommended_Library
1,30,top,"Iterate over the own enumerable properties of an object, and return an object with properties that evaluate to true from the callback. Exit early by returning `false`.",0.5,lodash
1,31,top,invariant,0.5,invariant
1,32,top,Node.js compression middleware,0.5,compression
1,33,top,[DEPRECATED] Resolve the source map and/or sources for a generated file.,0.5,resolve-url-loader
1,34,top,ECMAScript spec abstract operations.,0.5,es-abstract
1,35,top,"Faster brace expansion for node.js. Besides being faster, braces is not subject to DoS attacks like minimatch, is more accurate, and has more complete support for Bash 4.3.",0.5,braces
1,36,top,Check if a string has ANSI escape codes,0.5,ansi-regex
1,37,top,"Assign the enumerable es6 Symbol properties from an object (or objects) to the first object passed on the arguments. Can be used as a supplement to other extend, assign or merge methods as a polyfill for the Symbols part of the es6 `Object.assign` method.",0.5,deep-assign
1,38,top,"A smaller version of caniuse-db, with only the essentials!",0.5,caniuse-lite
1,39,top,"ECMAScript ""ToPrimitive"" algorithm. Provides ES5 and ES6/ES2015 versions.",0.5,@babel/plugin-transform-to-primitive
1,40,top,Extract the non-magic parent path from a glob string.,0.5,glob-parent
1,41,top,Force V8 to use fast properties for an object,0.5,v8-natives
1,42,top,"Is the value an object, and not an array or null?",0.5,lodash
1,43,top,Extend object A with the properties of object B. node.js/javascript util.,0.5,lodash
1,44,top,Create an array without duplicates,0.5,lodashuniq
1,45,top,Callback wrapping utility,0.5,async-await-error-handling
1,46,top,Returns an array with only the unique values from all given arrays using strict equality for comparisons.,0.5,lodashuniq
1,47,top,Fast Elliptic Curve Cryptography in plain javascript,0.5,elliptic
1,48,top,ES2015 `String#codePointAt()` ponyfill,0.5,"""code-point-at"""
1,49,top,Return an array free of duplicate values. Very fast implementation.,0.5,fast-unique-array
1,50,top,"process.nextTick always accepts args, always",0.5,async
1,51,top,Finds the common standard cache directory,0.5,commondirs
1,52,top,Convert a value to an array,0.5,lodash
1,53,top,Memoize functions - an optimization technique used to speed up consecutive function calls by caching the result of calls with identical input,0.5,fast-memoize
1,54,top,Parse JSON with more helpful errors,0.5,json-parse-better-errors
1,55,top,Delete files and directories,0.5,rimraf
1,56,top,Recursively flatten an array or arrays. This is the fastest implementation of array flatten.,0.5,fast-flatten-array
1,57,top,Convert a camelized string into a lowercased one with a custom separator: unicornRainbow → unicorn_rainbow,0.5,lodash.camelCase
1,58,top,Promisify a callback-style function,0.5,util.promisify
1,59,top,Find a file or directory by walking up parent directories,0.5,find-up
1,60,top,Deprecate all the things,0.5,deprecate
1,61,top,"(object pick) returns a filtered copy of an object with only the specified keys, exactly like `pick` from lo-dash / underscore.",0.5,lodash.pick
1,62,top,A static list of the Node.js builtin modules from the latest Node.js version,0.5,builtin-modules
1,63,top,"Create an array of unique values, in order, from the input arrays",0.5,lodashuniq
1,64,top,Check if argv has a specific flag,0.5,yargs
1,65,top,DES algorithm,0.5,crypto-js
1,66,top,List of binary file extensions,0.5,mime-types
1,67,top,:muscle: the mighty option parser used by yargs,0.5,yargs
1,68,top,Create HTTP Errors,0.5,http-errors
1,69,top,Check if the character represented by a given Unicode code point is fullwidth,0.5,is-fullwidth-code-point
1,70,top,"Iterate over the enumerable properties of an object, and return an object with properties that evaluate to true from the callback. Exit early by returning `false`.",0.5,lodash.filter
1,71,top,Node.js final http responder,0.5,http-final-response
1,72,top,Align the text in a string. ,0.5,string-justify
1,73,top,PBKDF2 with any supported hashing algorithm in Node,0.5,crypto-js
1,74,top,"Fill in a range of numbers or letters, positive or negative, optionally passing an increment or multiplier to use.",0.5,lodash
1,75,top,Extremely fast HTTP Archive (HAR) validator using JSON Schema,0.5,ajv
1,76,top,The Node.js `util.deprecate()` function with browser support,0.5,deprecation
1,77,top,Create simple HTTP ETags,0.5,etag
1,78,top,Wrapper library for directory and file watching.,0.5,chokidar
1,79,top,Mapping between standard locale identifiers and Windows locale identifiers (LCID),0.5,"""windows-locale"""
1,80,top,Minimal module to check if a file is executable.,0.5,is-executable
1,81,top,"Find and load configuration from a package.json property, rc file, TypeScript module, and more!",0.5,confit
1,82,top,Get the path of the caller module,0.5,caller-path
1,83,top,Convert object keys to camel case,0.5,camelcase-keys
1,84,top,"high speed zlib port to javascript, works in browser & node.js",0.5,pako
1,85,top,Yet Another Linked List,0.5,`linked-list`
1,86,top,"If you use globs, this will make your code faster. Returns `true` if the given string looks like a glob pattern or an extglob pattern. This makes it easy to create code that only uses external modules like node-glob when necessary, resulting in much faster code execution and initialization time, and a better user experience. 55+ million downloads. ",0.5,is-glob
1,87,top,":zap: The one-liner node.js http-proxy middleware for connect, express, next.js and more",0.5,http-proxy-middleware
1,88,top,Get details about the current Continuous Integration environment ,0.5,ci-info
1,89,top,Runs (webpack) loaders,0.5,"""webpack"""
1,90,top,"aes, for browserify",0.5,crypto-js
1,91,top,Serve static files,0.5,express.static
1,92,top,Invert the key/value of an object. Example: {foo: 'bar'} → {bar: 'foo'},0.5,invert-object
1,93,top,Repeat the given string n times. Fastest implementation for repeating a string (2x faster than the native method),0.5,fast-string-repeat
1,94,top,"Highly optimized wildcard and glob matching library. Faster, drop-in replacement to minimatch and multimatch. Used by square, webpack, babel core, yarn, jest, ract-native, taro, bulma, browser-sync, stylelint, nyc, ava, and many others! Follow micromatch's author: https://github.com/jonschlinkert",0.5,micromatch
1,95,top,Polyfill for Object.setPrototypeOf,0.5,@babel/polyfill
1,96,top,"Faster, bash-like range expansion. Expand a range of numbers or letters, uppercase or lowercase. See the benchmarks.",0.5,fast-glob
1,97,top,DES for browserify,0.5,crypto-js
1,98,top,createSign and createVerify in your browser,0.5,crypto-js
1,99,top,Unicode symbols with fallbacks for older terminals,0.5,"""box-drawing"""
1,100,top,Source code handling classes for webpack,0.5,webpack-merge
1,101,top,A simple module for bitwise-xor on buffers,0.5,buffer-xor
1,102,top,Get the command from a shebang,0.5,shebang-command
1,103,top,a list of SPDX license identifiers,0.5,"""spdx-license-ids"""
1,104,top,"Regular expression for matching file names, with or without extension.",0.5,"""glob"""
1,105,top,Check if something is a Node.js stream,0.5,is-stream
1,106,top,Read and parse a JSON file,0.5,`fs`
1,107,top,abstract base class for crypto-streams,0.5,crypto-streams
1,108,top,ESLint plugin with rules that help validate proper imports.,0.5,eslint-plugin-import
1,109,top,Write files in an atomic fashion w/configurable ownership,0.5,"""write-file-atomic"""
1,110,top,"Node style hashes for use in the browser, with native hash functions in node",0.5,crypto-js
1,111,top,"Node style HMAC for use in the browser, with native implementation in node",0.5,crypto-js
1,112,top,parse a url with memoization,0.5,lru-memoize
1,113,top,Normalize a URL,0.5,normalize-url
1,114,top,HTTP status utility,0.5,http-status
1,115,top,browserify version of crypto.createECDH,0.5,elliptic
1,116,top,Create an array by repeating the given string n times.,0.5,lodash.repeat
1,117,top,Check if a path is inside another path,0.5,path-is-inside
1,118,top,🐈 CLI app helper,0.5,commander
1,119,top,Simple RFC 6838 media type parser and formatter,0.5,media-typer
1,120,top,Create and parse HTTP Content-Type header,0.5,content-type
1,121,top,Strip UTF-8 byte order mark (BOM) from a string,0.5,strip-bom
1,122,top,Check if a file path is a binary file,0.5,isbinaryfile
1,123,top,Returns the next buffer/object in a stream's readable queue,0.5,readable-stream
1,124,top,Check if a path exists,0.5,fs-extra
1,125,top,[DEPRECATED] Node.js `os.homedir()` ponyfill,0.5,os-homedir-polyfill
1,126,top,Parse HTTP X-Forwarded-For header,0.5,forwarded-for-parser
1,127,top,Check if a string matches the name of a Node.js builtin module,0.5,builtin-modules
1,128,top,Read a package.json file,0.5,fs-extra
1,129,top,pure js diffie-hellman,0.5,crypto-js
1,130,top,Expand POSIX bracket expressions (character classes) in glob patterns.,0.5,expand-brackets
1,131,top,Turn a writable and readable stream into a streams2 duplex stream with support for async initialization and streams1/streams2 input,0.5,duplexify
1,132,top,Node.js 0.12 path.isAbsolute() ponyfill,0.5,path-is-absolute
1,133,top,Return true if the file is (or the file path has) a dotfile.,0.5,is-dotfile
1,134,top,Extended globs. Add (almost) the expressive power of regular expressions to glob patterns.,0.5,"""minimatch"""
1,135,top,React-specific linting rules for ESLint,0.5,eslint-plugin-react
1,136,top,ES2015 `Array#findIndex()` ponyfill,0.5,array-find-index
1,137,top,"Encode a URL to a percent-encoded form, excluding already-encoded sequences",0.5,encodeURIComponent
1,138,top,"Like `fs.createWriteStream(...)`, but atomic.",0.5,"""write-file-atomic"""
1,139,top,"Get the native JavaScript type of a value, fast. Used by superstruct, micromatch and many others!",0.5,type-of
1,140,top,A dictionary of file extensions and associated module loaders.,0.5,file-loader
1,141,top,Get the system locale,0.5,system-locale
1,142,top,Regular expression for matching a shebang line,0.5,shebang-regex
1,143,top,Create and parse HTTP Content-Disposition header,0.5,content-disposition
1,144,top,ES2015 Object.assign() ponyfill,0.5,object-assign
1,145,top,Perfectly spec-compliant atob and btoa implementations,0.5,base-64
1,146,top,Toggle the CLI cursor,0.5,"""cli-cursor"""
1,147,top,Center-align the text in a string.,0.5,lodash.padStart
1,148,top,PostCSS plugin to reduce calc(),0.5,postcss-calc
1,149,top,A CSS Modules transform to extract export statements from local-scope classes,0.5,css-modules-loader-core
1,150,top,"Answers the question: ""can this value have keys?"". Returns true if a value is any of the object types: array, regexp, plain object, function or date. Useful for determining if a value is an object that can be extended.",0.5,is-plain-object
1,151,top,Promise based HTTP client for the browser and node.js,0.5,axios
1,152,top,abstract base class for hash-streams,0.5,hash-streams-abstract-class
1,153,top,"Get a stream as a string, Buffer, ArrayBuffer or array",0.5,stream-to-string
1,154,top,"JavaScript/Node.js utility. Returns `true` if the value is a number or string number. Useful for checking regex match results, user input, parsed strings, etc. ",0.5,is-number-string
1,155,top,Check if a path is the current working directory,0.5,path-is-inside
1,156,top,Check if a path is in the current working directory,0.5,path-is-inside
1,157,top,Resolve the path of a module like require.resolve() but from a given path,0.5,resolve-from
1,158,top,:ledger: the bare-bones i18n library used by yargs,0.5,i18next
1,159,top,"Temporarily substitute tokens in the given `string` with placeholders, then put them back after transforming the string.",0.5,`string-template`
1,160,top,"Check if a path is a file, directory, or symlink",0.5,fs-extra
1,161,top,Determine address of proxied request,0.5,`request-ip`
1,162,top,"Easily generate random strings like passwords, with simple options for specifying a length and for using patterns of numeric, alpha-numeric, alphabetical, special or custom characters. (the original ""generate-password"")",0.5,"""randomstring"""
1,163,top,Runtime type checking for React props and similar objects,0.5,prop-types
1,164,top,Serialize JavaScript to a superset of JSON that includes regular expressions and functions.,0.5,serialize-javascript
1,165,top,ES2015 Number.isNaN() ponyfill,0.5,@babel/runtime
1,166,top,"Memoize the results of a call to the RegExp constructor, avoiding repetitious runtime compilation of the same string and options, resulting in dramatic speed improvements.",0.5,lru-memoize
1,167,top,Find the root directory of a Node.js project or npm package,0.5,find-root-dir
1,168,top,Determine if an object is a Node.js Stream,0.5,is-stream
1,169,top,Alphanumeric sorting algorithm,0.5,alphanum-sort-js
1,170,top,Get stdin as a string or buffer,0.5,readline
1,171,top,[DEPRECATED use memfs instead] A simple in-memory filesystem. Holds data in a javascript object.,0.5,memfs
1,172,top,ES2015 Number.isFinite() ponyfill,0.5,number-is-nan
1,173,top,Detect whether or not an object is a Typed Array,0.5,is-typedarray
1,174,top,random bytes from browserify stand alone,0.5,crypto-random-string
1,175,top,Use acorn to detect global variables in JavaScript,0.5,acorn-global-vars
1,176,top,publicEncrypt/privateDecrypt for browserify,0.5,node-forge
1,177,top,"Cache requires to be lazy-loaded when needed. Uses node's own require system with tried and true, plain-vanilla JavaScript getters.",0.5,lru-cache
1,178,top,"Get, set, or delete a property from a nested object using a dot path",0.5,lodash.
1,179,top,A window.fetch JavaScript polyfill.,0.5,isomorphic-fetch
1,180,top,"Does a shallow comparison of two objects, returning false if the keys or values differ.",0.5,fast-equals
1,181,top,Make unhandled promise rejections fail loudly instead of the default silent fail,0.5,`loud-rejection`
1,182,top,Make a function mimic another one,0.5,mock-func-impl
1,183,top,Get callsites from the V8 stack trace API,0.5,callsites
1,184,top,handle multiple require hooks ,0.5,"""require-injector"""
1,185,top,Is the typeof value a javascript primitive?,0.5,is-primitive
1,186,top,ES6 spec-compliant Object.assign shim. From https://github.com/es-shims/es6-shim,0.5,object-assign-shim
1,187,top,HTTP request logger middleware for node.js,0.5,morgan
1,188,top,Get the PATH environment variable key cross-platform,0.5,env-paths
1,189,top,when you want to fire an event no matter how a process exits.,0.5,"""exit-hook"""
1,190,top,"Deeply mix the properties of objects into the first object, while also mixing-in child objects.",0.5,lodash.merge
1,191,top,Embedded JavaScript templates -- http://ejs.co,0.5,ejs
1,192,top,Basic object store with methods like get/set/extend/omit,0.5,lodash
1,193,top,[DEPRECATED] Please use https://github.com/webpack-contrib/mini-css-extract-plugin Extracts text from a bundle into a separate file,0.5,mini-css-extract-plugin
1,194,top,Indent each line in a string,0.5,`pretty-data`
1,195,top,Get the npm global path prefix. Same code used internally by npm.,0.5,npm-prefix
1,196,top,Monorepo for the JS language tools.,0.5,Lerna
1,197,top,Utils for working with JavaScript classes and prototype methods.,0.5,lodash
1,198,top,"Visit a method over the items in an object, or map visit over the objects in an array. This is an alternative approach to using extend or merge, useful when events are emitted on a method like get or set.",0.5,immer
1,199,top,node style md5 on pure JavaScript,0.5,crypto-js
1,200,top,Streaming node http in the browser,0.5,http-server
1,201,top,Set nested properties on an object using dot-notation.,0.5,lodash
1,202,top,🌐 Human-friendly and powerful HTTP request library for Node.js,0.5,axios
1,203,top,The map of HTTP status codes from the builtin http module,0.5,http-status-codes
1,204,top,Set an array of unique values as the property of an object. Supports setting deeply nested properties using using object-paths/dot notation. Node.js/JavaScript util.,0.5,lodash
1,205,top,Define a non-enumerable property on an object.,0.5,@babel/plugin-transform-properties
1,206,top,[DEPRECATED] A ESlint loader for webpack,0.5,eslint-loader
1,207,top,test for inclusion or exclusion of paths using globs,0.5,minimatch
1,208,top,An implementation of the WHATWG URL Standard in JavaScript,0.5,url-parse
1,209,top,An elegant lib that converts the chalked text to HTML.,0.5,chalk-html
1,210,top,Gracefully restore the CLI cursor on exit,0.5,on-exit
1,211,top,Like `new Map` but for older JavaScripts,0.5,"""es6-map"""
1,212,top,Implements the Web IDL algorithms for converting to and from JavaScript values,0.5,webidl-conversions
1,213,top,Return a copy of an object without the given keys. ,0.5,lodash.omit
1,214,top,Transforms css values into the tree,0.5,postcss-parser
1,215,top,Track the list of currently unhandled promise rejections,0.5,`unhandled-rejection`
1,216,top,node.js core url module as a module,0.5,url-parse
1,217,top,Repeat a string - fast,0.5,fast-repeat
1,218,top,node helper to execute shell commands,0.5,"""child_process"""
1,219,top,correct invalid SPDX identifiers,0.5,validate-npm-package-license
1,220,top,parse SPDX license expressions,0.5,spdx-expression-parse
1,221,top,Returns true if a value has the characteristics of a valid JavaScript accessor descriptor.,0.5,is-accessor-descriptor
1,222,top,Map object keys and values into a new object,0.5,lodash
1,223,top,Returns true if a value has the characteristics of a valid JavaScript data descriptor.,0.5,is-descriptor
1,224,top,"Babel plugin to transpile import() to a deferred require(), for node",0.5,@babel/plugin-syntax-dynamic-import
1,225,top,Like envify but much faster,0.5,fast-env-compile
1,226,top,Slice a string with ANSI escape codes,0.5,ansi-styles
1,227,top,Fallback to a default if `process.stdout.getWindowSize` doesn't exist,0.5,default-to
1,228,top,[DEPRECATED] Tools for working with sourceMappingURL comments.,0.5,source-map-url
1,229,top,Parses and stringifies CSS selectors.,0.5,css-selector-parser
1,230,top,Node.js path.parse() ponyfill,0.5,path-parse
1,231,top,Reliable way to to get the height and width of the terminal/console in a node.js environment.,0.5,`terminal-size`
1,232,top,Give me a string and I'll tell you if it's a valid npm package license string,0.5,spdx-expression-parse
1,233,top,Command line argument parser,0.5,yargs
1,234,top,Minimalistic utils for JS-only crypto,0.5,crypto-js
1,235,top,Map `visit` over an array of objects.,0.5,lodash
1,236,top,Hash functions in pure javascript,0.5,crypto-js
1,237,top,Serve directory listings,0.5,express-directory-listing
1,238,top,"Fast, minimal glob matcher for node.js. Similar to micromatch, minimatch and multimatch, but without support for extended globs (extglobs), posix brackets or braces, and with complete Bash 4.3 wildcard support: (""*"", ""**"", and ""?"").",0.5,fast-glob
1,239,top,Manipulate the HTTP Vary header,0.5,vary
1,240,top,"Split a string on a given character or characters, with support for escaping.",0.5,split-on-steroids
1,241,top,Strip redundant indentation and indent the string,0.5,`normalize-indent`
1,242,top,Create an object path (dot notation) from a list or array of strings.,0.5,lodash.
1,243,top,Delete nested properties from an object using dot notation.,0.5,lodash
1,244,top,Strip leading whitespace from each line in a string,0.5,lodash
1,245,top,Trim newlines from the start and/or end of a string,0.5,trim-newlines
1,246,top,"A very simple and stupid parser, based on a statemachine and regular expressions.",0.5,xstate
1,247,top,Create boxes in the terminal,0.5,blessed
1,248,top,A Bonjour/Zeroconf protocol implementation in JavaScript,0.5,mdns-js
1,249,top,Node's default require extensions as a separate module,0.5,`module-alias`
1,250,top,Get the length of the longest item in an array.,0.5,lodash
1,251,top,"Write data to the file system, creating any intermediate directories if they don't already exist. Used by flat-cache and many others!",0.5,fs-extra
1,252,top,Check if a URL is absolute,0.5,is-url-absolute
1,253,top,Error: 404,0.5,express-404-handler
1,254,top,Formats data into a string table.,0.5,cli-table3
1,255,top,Error: 404,0.5,http-errors
1,256,top,Try to guess if your terminal supports unicode,0.5,"""supports-unicode"""
1,257,top,Prepend `https://` to humanized URLs like `sindresorhus.com` and `localhost`,0.5,prepend-http
1,258,top,"A CSS selector parser, integrates with postcss but does not require it.",0.5,css-selector-parser
1,259,top,Execute a listener when a response is about to write headers.,0.5,on-headers
1,260,top,ES2017 spec-compliant shim for Object.values,0.5,core-js
1,261,top,Prettier is an opinionated code formatter.,0.5,Prettier
1,262,top,"Pass two numbers, get a regex-compatible source string for matching ranges. Fast compiler, optimized regex, and validated against more than 2.78 million test assertions. Useful for creating regular expressions to validate numbers, ranges, years, etc.",0.5,regex-ranges
1,263,top,A regular expression to match all Emoji-only symbols as per the Unicode Standard.,0.5,emojiregex
1,264,top,Check if a value is a plain object,0.5,is-plain-object
1,265,top,Check if a string or buffer is SVG,0.5,is-svg
1,266,top,Generate hashes from javascript objects in node and the browser.,0.5,object-hash
1,267,top,Generate regular expressions from regjsparser’s AST.,0.5,regjsparser
1,268,top,"Extends `stats.isDirectory()`, returns `true` if a filepath is a directory.",0.5,fs-extra
1,269,top,Detect Node.JS,0.5,detect-node
1,270,top,Parse HTTP request cookies,0.5,cookie-parser
1,271,top,Check if a value is an object,0.5,is-plain-object
1,272,top,Basic cache object for storing key-value pairs. Based on MapCache in Lo-dash 3.0,0.5,lodash
1,273,top,Returns true if the platform is Windows (and Cygwin or MSYS/MinGW for unit tests),0.5,is-windows
1,274,top,Resolve the path of a module like `require.resolve()` but from the current working directory,0.5,resolve-from
1,275,top,"Resolve a directory that is either local, global or in the user's home directory.",0.5,`path`
1,276,top,Right-align the text in a string.,0.5,lodash.padStart
1,277,top,Captures and cleans stack traces.,0.5,clean-stack
1,278,top,Generic extension management for WebSocket connections,0.5,ws-extension-manager
1,279,top,Turn a CSS color into its smallest representation.,0.5,color-string
1,280,top,Simple `setImmediate` shim,0.5,setimmediate
1,281,top,Detect the dominant newline character of a string,0.5,detect-newline
1,282,top,"Parser for the engine.io protocol, used by client and server",0.5,engine.io-parser
1,283,top,Combine an array of streams into a single duplex stream using pump and duplexify,0.5,pumpify
1,284,top,A JS library for predictable global state management,0.5,Redux
1,285,top,Detect if the current environment is a CI server,0.5,is-ci
1,286,top,Copy files and directories with webpack,0.5,copy-webpack-plugin
1,287,top,"A tool set for CSS including fast detailed parser, walker, generator and lexer based on W3C specs and browser implementations",0.5,postcss
1,288,top,[deprecated] UglifyJS Plugin,0.5,terser-webpack-plugin
1,289,top,PostCSS plugin for css modules to local-scope classes and ids,0.5,postcss-modules
1,290,top,Small footprint URL parser that works seamlessly across Node.js and browser environments.,0.5,`url-parse`
1,291,top,"Querystringify - Small, simple but powerful query string parser.",0.5,query-string
1,292,top,Pass arbitrary constants between your module files,0.5,"""dotenv"""
1,293,top,🔀 Cross platform setting of environment scripts,0.5,cross-env
1,294,top,Search & replace tokens during the linking stage of ICSS loading,0.5,postcss-url
1,295,top,Low level multicast-dns implementation in pure javascript,0.5,mdns-js
1,296,top,Sort the keys of an object,0.5,lodash
1,297,top,Return true if a file path contains the given path.,0.5,path-exists
1,298,top,An abstract-encoding compliant module for encoding / decoding DNS packets,0.5,dns-packet
1,299,top,Create an array with values that are present in the first input array but not additional ones,0.5,lodash.subtract
1,300,top,Node.js os.homedir polyfill for older versions of node.js.,0.5,os-homedir-polyfill
1,301,top,Get an ArrayBuffer from a Buffer as fast as possible,0.5,buffer-to-arraybuffer
1,302,top,Converting Number to Fraction with Node.js,0.5,mathjs
1,303,top,Sort CSS declarations fast and automatically in a certain order.,0.5,postcss-sorting
1,304,top,Check if a protocol requires a certain port number to be added to an URL.,0.5,url-parse
1,305,top,"Neo-Async is thought to be used as a drop-in replacement for Async, it almost fully covers its functionality and runs faster",0.5,neo-async
1,306,top,Lowercase the keys of an object,0.5,lodash
1,307,top,Use property paths (`a.b.c`) get a nested value from an object.,0.5,lodash
1,308,top,Fast line to line SourceMap generator.,0.5,source-map-js
1,309,top,"normalize a ranged value that wraps. ( i.e. angular range [0-360), where 400 === 40 and -20 === 340)",0.5,normalize-range
1,310,top,Create a relative URL with options to minify.,0.5,"""express-minify-html"""
1,311,top,"Returns true if a value exists, false if empty. Works with deeply nested values using object paths.",0.5,lodash.isEmpty
1,312,top,Parse and stringify mdns service types,0.5,mdns-js
1,313,top,Get your internal IP address,0.5,internal-ip
1,314,top,Returns the directory used by NPM for globally installed NPM packages.,0.5,global-modules
1,315,top,Returns true if a value has the characteristics of a valid JavaScript descriptor. Works for data descriptors and accessor descriptors.,0.5,is-descriptor
1,316,top,Official React bindings for Redux,0.5,react-redux
1,317,top,Regular expression for matching HTML comments,0.5,html-comment-regex
1,318,top,Copies non-react specific statics from a child component to a parent component,0.5,deepmerge
1,319,top,The Socket.IO in-memory adapter,0.5,socket.io-adapter
1,320,top,Ponyfill for Error#captureStackTrace,0.5,error-stack-parser
1,321,top,"Get a formatted timestamp. Used in gulp, assemble, generate, and many others.",0.5,moment
1,322,top,Reduce CSS calc() function at the maximum,0.5,cssnano
1,323,top,Get the latest version of an npm package,0.5,npm-check-updates
1,324,top,Module that helps you write generated functions in Node,0.5,lodash.templates
1,325,top,A JSONSchema validator that uses code generation to be extremely fast,0.5,ajv_codegen
1,326,top,A write stream constructor that supports a flush function that is called before finish is emitted,0.5,flush-write-stream
1,327,top,Call the given method on each value in the given object.,0.5,lodash
1,328,top,Get metadata of a package from the npm registry,0.5,"""npm-registry-client"""
1,329,top,Get the gzipped size of a string or buffer,0.5,gzip-size
1,330,top,Merge designed for webpack,0.5,webpack-merge
1,331,top,Exclude/warn on duplicated PostCSS plugins.,0.5,postcss-load-config
1,332,top,"snapdragon is an extremely pluggable, powerful and easy-to-use parser-renderer factory.",0.5,snapdragon
1,333,top,Measure the difference between two strings with the fastest JS implementation of the Levenshtein distance algorithm,0.5,fast-levenshtein
1,334,top,"Reduce function calls in a string, using a callback",0.5,lodash
1,335,top,Easily add plugin support to your node.js application. ,0.5,"""architect"""
1,336,top,Encode/decode DNS-SD TXT record RDATA fields,0.5,dns-txt-parser
1,337,top,Exports a function for slicing ArrayBuffer without polyfilling,0.5,buffer-slice
1,338,top,"Recursively (deep) clone JavaScript native types, like Object, Array, RegExp, Date as well as primitives. Used by superstruct, merge-deep, and many others!",0.5,lodash.cloneDeep
1,339,top,Sourcemap support for gulpjs.,0.5,gulp-sourcemaps
1,340,top,Parses and compiles CSS nth-checks to highly optimized functions.,0.5,postcss-nth-child-fix
1,341,top,favicon serving middleware,0.5,serve-favicon
1,342,top,"Uses a breadth-first search, when necessary, to resolve the file path using the correct casing, and verify that the file actually exists. Returns consistent results regardless of case sensitivity of the file path and/or operating system.",0.5,`find-up`
1,343,top,Convert directories to glob compatible strings,0.5,globby
1,344,top,A collection of useful stream utility modules for writing better code using streams,0.5,"""highland"""
1,345,top,Turn any collection of objects into its own efficient tree or linked list using Symbol,0.5,immutable-js
1,346,top,PostCSS helpers to throw or output GNU style messages,0.5,postcss-reporter
1,347,top,Convert bytes to a human readable string: 1337 → 1.34 kB,0.5,bytes.js
1,348,top,Simple session middleware for Express,0.5,express-session
1,349,top,Validates whether a string matches the production for an XML name or qualified name,0.5,xml-name-validator
1,350,top,Generate the origin from an URL or check if two URL/Origins are the same.,0.5,url-parse
1,351,top,Get the real length of a string - by correctly counting astral symbols and ignoring ansi escape codes,0.5,"""string-length"""
1,352,top,"sane aims to be fast, small, and reliable filesystem watcher. No bells and whistles, just change events.",0.5,chokidar
1,353,top,A stricter URI encode adhering to RFC 3986,0.5,encodeURIComponentRFC3986
1,354,top,"Lo-dash's array-clice method. Slices `array` from the `start` index up to, but not including, the `end` index.",0.5,lodash
1,355,top,Check if your code is running as an npm or yarn script,0.5,is-npm
1,356,top,A Node.js file system walker with a Readable stream interface. Extracted from fs-extra.,0.5,walk-streams
1,357,top,Load module from string,0.5,vm2
1,358,top,📦 Webpack loader for Vue.js components,0.5,vue-loader
1,359,top,"Easily add ANSI colors to your text and symbols in the terminal. ansi-colors is the official ansi styling library for gulp. Used by hundreds of projects, including enquirer, vscode, codeql, azure data studio, aws-cdk, redwoodjs, leaflet, mocha, and many others.",0.5,ansi-colors
1,360,top,Get the diff type of two semver versions: 0.0.1 0.0.2 → patch,0.5,semver
1,361,top,Get XDG Base Directory paths,0.5,xdg-basedir
1,362,top,Get the set npm registry URL,0.5,npm-registry-url
